Date and Time (UTC),Transmitter,Station Name,Lat_dd,Lon_dd
2018-08-16 01:54:00,A69-1602-9718,SB-02,33.49063333,-119.0317333
2018-08-16 01:57:00,A69-1602-9718,SB-02,33.49063333,-119.0317333
2018-08-16 02:06:00,A69-1602-9718,SB-02,33.49063333,-119.0317333
2018-08-16 02:08:00,A69-1602-9718,SB-02,33.49063333,-119.0317333
2018-08-16 02:11:00,A69-1602-9718,SB-02,33.49063333,-119.0317333
2018-08-29 20:18:00,A69-1602-9718,SB-02,33.49063333,-119.0317333
2018-08-29 20:19:00,A69-1602-9718,SB-02,33.49063333,-119.0317333
2018-08-29 20:21:00,A69-1602-9718,SB-02,33.49063333,-119.0317333
2018-08-29 20:23:00,A69-1602-9718,SB-02,33.49063333,-119.0317333
2018-08-29 20:24:00,A69-1602-9718,SB-02,33.49063333,-119.0317333
2018-08-29 20:26:00,A69-1602-9718,SB-02,33.49063333,-119.0317333
2018-08-29 20:29:00,A69-1602-9718,SB-02,33.49063333,-119.0317333
2018-08-29 20:32:00,A69-1602-9718,SB-02,33.49063333,-119.0317333
2018-08-29 20:33:00,A69-1602-9718,SB-02,33.49063333,-119.0317333
2018-08-29 20:36:00,A69-1602-9718,SB-02,33.49063333,-119.0317333
2018-08-29 20:38:00,A69-1602-9718,SB-02,33.49063333,-119.0317333
2018-08-29 20:39:00,A69-1602-9718,SB-02,33.49063333,-119.0317333
2018-08-30 02:10:00,A69-1602-9718,SB-02,33.49063333,-119.0317333
2018-08-30 02:12:00,A69-1602-9718,SB-02,33.49063333,-119.0317333
2018-08-30 02:14:00,A69-1602-9718,SB-02,33.49063333,-119.0317333
2018-08-30 02:16:00,A69-1602-9718,SB-02,33.49063333,-119.0317333
2018-08-30 02:18:00,A69-1602-9718,SB-02,33.49063333,-119.0317333
2018-08-30 02:20:00,A69-1602-9718,SB-02,33.49063333,-119.0317333
2018-08-30 02:24:00,A69-1602-9718,SB-02,33.49063333,-119.0317333
2018-08-30 02:39:00,A69-1602-9718,SB-02,33.49063333,-119.0317333
2018-09-09 03:43:00,A69-1602-29792,SB-02,33.49063333,-119.0317333
2018-09-09 03:44:00,A69-1602-29792,SB-02,33.49063333,-119.0317333
2018-09-09 03:44:00,A69-1602-29792,SB-02,33.49063333,-119.0317333
2018-09-09 03:44:00,A69-1602-29792,SB-02,33.49063333,-119.0317333
2018-09-09 03:45:00,A69-1602-29792,SB-02,33.49063333,-119.0317333
2018-09-09 03:45:00,A69-1602-29792,SB-02,33.49063333,-119.0317333
2018-09-09 03:46:00,A69-1602-29792,SB-02,33.49063333,-119.0317333
2018-09-09 03:47:00,A69-1602-29792,SB-02,33.49063333,-119.0317333
2018-09-09 03:47:00,A69-1602-29792,SB-02,33.49063333,-119.0317333
2018-09-09 03:48:00,A69-1602-29792,SB-02,33.49063333,-119.0317333
2018-09-09 05:07:00,A69-1602-29792,SB-02,33.49063333,-119.0317333
2018-09-09 05:14:00,A69-1602-29792,SB-02,33.49063333,-119.0317333
2018-09-09 05:23:00,A69-1602-29792,SB-02,33.49063333,-119.0317333
2018-09-09 05:23:00,A69-1602-29792,SB-02,33.49063333,-119.0317333
2018-09-09 05:23:00,A69-1602-29792,SB-02,33.49063333,-119.0317333
2018-09-09 05:23:00,A69-1602-29792,SB-02,33.49063333,-119.0317333
2018-09-09 05:24:00,A69-1602-29792,SB-02,33.49063333,-119.0317333
2018-09-09 05:24:00,A69-1602-29792,SB-02,33.49063333,-119.0317333
2018-09-09 05:24:00,A69-1602-29792,SB-02,33.49063333,-119.0317333
2018-09-09 05:24:00,A69-1602-29792,SB-02,33.49063333,-119.0317333
2018-09-09 05:24:00,A69-1602-29792,SB-02,33.49063333,-119.0317333
2018-09-09 05:24:00,A69-1602-29792,SB-02,33.49063333,-119.0317333
2018-09-09 05:24:00,A69-1602-29792,SB-02,33.49063333,-119.0317333
2018-09-09 05:24:00,A69-1602-29792,SB-02,33.49063333,-119.0317333
2018-09-09 05:25:00,A69-1602-29792,SB-02,33.49063333,-119.0317333
2018-09-09 05:25:00,A69-1602-29792,SB-02,33.49063333,-119.0317333
2018-09-09 05:25:00,A69-1602-29792,SB-02,33.49063333,-119.0317333
2018-09-09 05:25:00,A69-1602-29792,SB-02,33.49063333,-119.0317333
2018-09-09 05:25:00,A69-1602-29792,SB-02,33.49063333,-119.0317333
2018-09-09 05:25:00,A69-1602-29792,SB-02,33.49063333,-119.0317333
2018-09-09 05:25:00,A69-1602-29792,SB-02,33.49063333,-119.0317333
2018-09-09 05:26:00,A69-1602-29792,SB-02,33.49063333,-119.0317333
2018-09-09 05:26:00,A69-1602-29792,SB-02,33.49063333,-119.0317333
2018-09-09 05:26:00,A69-1602-29792,SB-02,33.49063333,-119.0317333
2018-09-09 05:26:00,A69-1602-29792,SB-02,33.49063333,-119.0317333
2018-09-09 05:26:00,A69-1602-29792,SB-02,33.49063333,-119.0317333
